Ewe/V	<I>/mA	time/s	
-4.0191931E-001	8.217943906784058E-001	0.000000000000000E+000
-4.0234470E-001	5.840822435628281E-001	1.099999972211663E-001
-4.0347198E-001	3.884370797120775E-001	3.299999916634988E-001
-4.0459454E-001	3.282345900894947E-001	5.499999861058313E-001
-4.0554392E-001	3.007975150355882E-001	7.499999810534064E-001
-4.0655369E-001	2.761085299973505E-001	9.499999760009814E-001
-4.0753275E-001	2.683568205283153E-001	1.149999970948556E+000
-4.0854359E-001	2.624917979713324E-001	1.349999965896131E+000
-4.0954494E-001	2.530959616763666E-001	1.549999960843707E+000
-4.1051236E-001	2.415681714107554E-001	1.749999955791282E+000
-4.1155612E-001	2.148897009215354E-001	1.949999950738857E+000
-4.1255635E-001	2.192332940619619E-001	2.149999945686432E+000
-4.1356617E-001	2.104453639995283E-001	2.349999940634007E+000
-4.1455051E-001	1.907508824276162E-001	2.549999935581582E+000
-4.1557837E-001	1.878949299300525E-001	2.749999930529157E+000
-4.1656804E-001	1.663625104999060E-001	2.949999925476732E+000
-4.1759378E-001	1.539799405954558E-001	3.149999920424307E+000
-4.1851553E-001	1.314024431852707E-001	3.349999915371882E+000
-4.1953808E-001	1.245024683621301E-001	3.549999910319457E+000
-4.2056382E-001	1.237535777073063E-001	3.749999905267032E+000
-4.2159697E-001	1.171780742204362E-001	3.949999900214607E+000
-4.2257920E-001	1.223773097306864E-001	4.149999895162182E+000
-4.2355704E-001	1.167898179469312E-001	4.349999890109757E+000
-4.2455721E-001	1.168415519617918E-001	4.549999885057332E+000
-4.2555299E-001	1.192699264411305E-001	4.749999880004907E+000
-4.2653733E-001	1.297359882706297E-001	4.950199874947430E+000
-4.2755336E-001	1.240258930684250E-001	5.150199869895005E+000
-4.2854050E-001	9.041072617658763E-002	5.350199864842580E+000
-4.2952162E-001	8.436823140643956E-002	5.550199859790155E+000
-4.3055266E-001	7.748005557763073E-002	5.750199854737730E+000
-4.3158054E-001	8.425283390614730E-002	5.950199849685305E+000
-4.3253410E-001	8.111651130537989E-002	6.150199844632880E+000
-4.3358105E-001	7.815497469678634E-002	6.350199839580455E+000
-4.3453148E-001	7.760307300189617E-002	6.550199834528030E+000
-4.3557945E-001	6.214398146889942E-002	6.750199829475605E+000
-4.3660411E-001	6.822341681054714E-002	6.950199824423180E+000
-4.3756300E-001	6.345132012722712E-002	7.150199819370755E+000
-4.3858665E-001	5.399913190602157E-002	7.350199814318330E+000
-4.3957630E-001	5.606365956148585E-002	7.550199809265905E+000
-4.4058928E-001	5.628600557674746E-002	7.750199804213480E+000
-4.4154716E-001	6.378778135731333E-002	7.950199799161055E+000
-4.4252512E-001	5.806408625818338E-002	8.150199794108630E+000
-4.4359961E-001	5.478236383690899E-002	8.350199789056205E+000
-4.4455957E-001	5.141591441779592E-002	8.550199784003780E+000
-4.4551316E-001	4.875443279748481E-002	8.750199778951355E+000
-4.4653681E-001	4.800557200675470E-002	8.950199773898930E+000
-4.4756040E-001	4.659256327669233E-002	9.150199768846505E+000
-4.4871393E-001	4.580748273005586E-002	9.370199763288838E+000
-4.4976461E-001	4.391451746958164E-002	9.590199757731170E+000
-4.5079452E-001	4.331129772035311E-002	9.790199752678745E+000
-4.5173752E-001	4.428890975331545E-002	9.990199747626320E+000
-4.5276329E-001	5.142534703629775E-002	1.019019974257390E+001
-4.5377839E-001	4.189686356518896E-002	1.039019973752147E+001
-4.5477441E-001	4.871343703947884E-002	1.059019973246905E+001
-4.5577255E-001	4.841491346782856E-002	1.079019972741662E+001
-4.5677391E-001	5.167134204254309E-002	1.099019972236420E+001
-4.5771268E-001	5.120737169253636E-002	1.119019971731177E+001
-4.5875001E-001	4.475926360550431E-002	1.139019971225935E+001
-4.5969406E-001	4.067778313884107E-002	1.159019970720692E+001
-4.6072191E-001	4.101787936290863E-002	1.179019970215450E+001
-4.6171156E-001	4.406857081026877E-002	1.199019969710207E+001
-4.6278605E-001	4.017307263399880E-002	1.219019969204965E+001
-4.6376619E-001	3.986749765906658E-002	1.239019968699722E+001
-4.6481842E-001	4.247106932068789E-002	1.259019968194480E+001
