Ewe/V	<I>/mA	time/s	
-4.0837276E-001	1.869685411453247E+000	0.000000000000000E+000
-4.0905857E-001	1.807915578851303E+000	6.999999823165126E-003
-4.1004661E-001	1.679096173605924E+000	1.939999950991478E-002
-4.1107339E-001	1.591096224285483E+000	3.199999919161201E-002
-4.1207528E-001	1.511821474918783E+000	4.439999887836166E-002
-4.1308188E-001	1.447268847409374E+000	5.699999856005888E-002
-4.1406789E-001	1.396749807261145E+000	6.939999824680854E-002
-4.1508874E-001	1.333063138876160E+000	8.199999792850576E-002
-4.1602686E-001	1.257329346484598E+000	9.439999761525542E-002
-4.1706452E-001	1.188728481348209E+000	1.069999972969526E-001
-4.1805565E-001	1.127205353939816E+000	1.193999969837023E-001
-4.1905633E-001	1.081926192168051E+000	1.319999966653995E-001
-4.2011634E-001	1.049678336823412E+000	1.443999963521492E-001
-4.2105937E-001	1.018194072552781E+000	1.569999960338464E-001
-4.2210507E-001	9.858692552051700E-001	1.693999957205961E-001
-4.2309776E-001	9.419630962268766E-001	1.819999954022933E-001
-4.2408389E-001	9.012346596767475E-001	1.944999950865167E-001
-4.2509434E-001	8.632206269151852E-001	2.069999947707402E-001
-4.2608225E-001	8.515908226795643E-001	2.194999944549636E-001
-4.2709044E-001	8.293745097471437E-001	2.319999941391870E-001
-4.2809942E-001	8.050350548225679E-001	2.444999938234105E-001
-4.2908442E-001	7.762918684249094E-001	2.569999935076339E-001
-4.3006837E-001	7.581835210851633E-001	2.694999931918574E-001
-4.3111363E-001	7.612451011719727E-001	2.819999928760808E-001
-4.3209088E-001	7.389804370897402E-001	2.944999925603042E-001
-4.3306249E-001	7.026589885021401E-001	3.069999922445277E-001
-4.3404058E-001	7.064816362322568E-001	3.194999919287511E-001
-4.3509507E-001	6.844288892129313E-001	3.319999916129746E-001
-4.3607667E-001	6.662623991737728E-001	3.444999912971980E-001
-4.3712783E-001	6.498478642703687E-001	3.569999909814214E-001
-4.3808329E-001	6.446362085509714E-001	3.694999906656449E-001
-4.3908724E-001	6.218886807217210E-001	3.819999903498683E-001
-4.4007415E-001	6.140512376996492E-001	3.944999900340918E-001
-4.4110397E-001	5.992582398688504E-001	4.069999897183152E-001
-4.4208291E-001	5.855823303491166E-001	4.194999894025386E-001
-4.4310036E-001	5.802221865520754E-001	4.319999890867621E-001
-4.4412577E-001	5.654597700878465E-001	4.444999887709855E-001
-4.4507176E-001	5.596491108687291E-001	4.569999884552090E-001
-4.4606203E-001	5.497258288284756E-001	4.694999881394324E-001
-4.4706187E-001	5.531733679790274E-001	4.819999878236558E-001
-4.4809276E-001	5.277378734075935E-001	4.944999875078793E-001
-4.4904840E-001	5.090117968447005E-001	5.069999871921027E-001
-4.5007357E-001	5.079965476758161E-001	5.194999868763261E-001
-4.5109341E-001	5.182451145429674E-001	5.319999865605496E-001
-4.5206213E-001	5.128483703790221E-001	5.444999862447730E-001
-4.5310280E-001	5.032951722193202E-001	5.569999859289965E-001
-4.5409852E-001	5.000824499357908E-001	5.694999856132199E-001
-4.5510039E-001	4.942928238638798E-001	5.819999852974433E-001
-4.5605579E-001	4.966291093093202E-001	5.944999849816668E-001
-4.5703083E-001	4.975861360435396E-001	6.069999846658902E-001
-4.5809406E-001	4.904458547713604E-001	6.194999843501137E-001
-4.5907259E-001	4.895921272719077E-001	6.319999840343371E-001
-4.6007383E-001	4.884312443478758E-001	6.444999837185605E-001
-4.6109012E-001	4.749735442816192E-001	6.569999834027840E-001
-4.6202216E-001	4.635669424018829E-001	6.694999830870074E-001
-4.6309254E-001	4.558878188420632E-001	6.819999827712309E-001
-4.6407968E-001	4.514194760575099E-001	6.944999824554543E-001
-4.6503985E-001	4.473339784779551E-001	7.069999821396777E-001
-4.6604952E-001	4.317145590637734E-001	7.194999818239012E-001
-4.6709600E-001	4.241424683991486E-001	7.319999815081246E-001
-4.6802613E-001	4.153595809792079E-001	7.444999811923481E-001
-4.6906224E-001	4.128413343375215E-001	7.569999808765715E-001
-4.7003493E-001	4.069897727319169E-001	7.694999805607949E-001
-4.7105628E-001	4.060233417729329E-001	7.819999802450184E-001
-4.7205630E-001	4.044976110763479E-001	7.944999799292418E-001
-4.7546795E-001	3.837332996315259E-001	8.369999788556015E-001
-4.7649774E-001	3.823957973846084E-001	8.494999785398250E-001
-4.7744748E-001	3.739509127751397E-001	8.619999782240484E-001
-4.7848949E-001	3.713282805102276E-001	8.744999779082718E-001
-4.7950411E-001	3.737807932165689E-001	8.869999775924953E-001
-4.8046902E-001	3.702672118421813E-001	8.994999772767187E-001
-4.8145175E-001	3.656708501290442E-001	9.119999769609421E-001
-4.8244795E-001	3.447053856475089E-001	9.244999766451656E-001
-4.8346320E-001	3.435232579178695E-001	9.369999763293890E-001
-4.8446095E-001	3.310237437056385E-001	9.494999760136125E-001
