Ewe/V	<I>/mA	time/s	
-4.0541333E-001	1.364594221115112E+000	0.000000000000000E+000
-4.0594277E-001	1.311174849749856E+000	1.219999969180208E-002
-4.0690657E-001	1.182307010214777E+000	3.439999913098291E-002
-4.0789706E-001	1.024936354196324E+000	5.659999857016373E-002
-4.0893385E-001	9.449164440321418E-001	7.879999800934456E-002
-4.0997896E-001	8.882537224814300E-001	1.011999974434730E-001
-4.1099909E-001	8.393612042025964E-001	1.233999968826538E-001
-4.1197166E-001	8.083085619279480E-001	1.455999963218346E-001
-4.1299152E-001	7.513926436727250E-001	1.677999957610155E-001
-4.1395879E-001	7.117839371965582E-001	1.899999952001963E-001
-4.1499957E-001	6.929530490338801E-001	2.121999946393771E-001
-4.1594717E-001	6.822044859025621E-001	2.343999940785579E-001
-4.1699871E-001	6.847940028607868E-001	2.565999935177388E-001
-4.1798821E-001	6.637561473827791E-001	2.787999929569196E-001
-4.1895583E-001	6.348849716267235E-001	3.011999923910480E-001
-4.1997284E-001	6.067185894952463E-001	3.233999918302288E-001
-4.2096099E-001	5.765931464253615E-001	3.455999912694097E-001
-4.2195019E-001	6.127006803564754E-001	3.677999907085905E-001
-4.2293251E-001	5.969924953381238E-001	3.899999901477713E-001
-4.2393810E-001	5.747773483606675E-001	4.121999895869521E-001
-4.2494905E-001	5.722731815787654E-001	4.343999890261330E-001
-4.2596439E-001	5.731980139619357E-001	4.565999884653138E-001
-4.2694068E-001	5.507626151510809E-001	4.789999878994422E-001
-4.2797905E-001	5.240373386560648E-001	5.011999873386230E-001
-4.2894986E-001	4.880671100473659E-001	5.233999867778039E-001
-4.2996073E-001	4.756905667508633E-001	5.455999862169847E-001
-4.3092218E-001	4.814003113359204E-001	5.677999856561655E-001
-4.3196848E-001	4.777660365204032E-001	5.899999850953463E-001
-4.3294877E-001	4.716912374906261E-001	6.121999845345272E-001
-4.3397751E-001	4.532873713905001E-001	6.343999839737080E-001
-4.3499708E-001	4.286321316485608E-001	6.565999834128888E-001
-4.3600693E-001	4.321845247522003E-001	6.789999828470172E-001
-4.3765917E-001	3.976038036253882E-001	7.166999818946351E-001
-4.3936533E-001	3.963349238972489E-001	7.543999809422530E-001
-4.4035223E-001	4.089209200832995E-001	7.765999803814339E-001
-4.4137508E-001	3.939245606465276E-001	7.989999798155623E-001
-4.4233906E-001	3.939680748280758E-001	8.211999792547431E-001
-4.4335845E-001	3.829859148465724E-001	8.433999786939239E-001
-4.4439074E-001	3.799545845283809E-001	8.655999781331047E-001
-4.4538036E-001	3.671209586250290E-001	8.877999775722856E-001
-4.4634172E-001	3.545403751979272E-001	9.099999770114664E-001
-4.4735360E-001	3.495701331334820E-001	9.321999764506472E-001
-4.4834113E-001	3.529369155075397E-001	9.543999758898281E-001
-4.4938380E-001	3.439954919554289E-001	9.765999753290089E-001
-4.5037565E-001	3.380978463531163E-001	9.989999747631373E-001
-4.5133576E-001	3.222596155346062E-001	1.021199974202318E+000
-4.5230502E-001	3.218218063168841E-001	1.043399973641499E+000
-4.5336092E-001	3.234358495064078E-001	1.065599973080680E+000
-4.5433801E-001	3.117885958145683E-001	1.087799972519861E+000
-4.5535612E-001	3.039113044630115E-001	1.109999971959041E+000
-4.5632353E-001	3.015526214241975E-001	1.132199971398222E+000
-4.5730036E-001	3.049712447576838E-001	1.154399970837403E+000
-4.5829812E-001	2.983020614624654E-001	1.176599970276584E+000
-4.5935071E-001	2.846102437771250E-001	1.198999969710712E+000
-4.6037474E-001	2.720311317884676E-001	1.221199969149893E+000
-4.6139967E-001	2.699349492788317E-001	1.243399968589074E+000
-4.6236530E-001	2.702905252669017E-001	1.265599968028255E+000
-4.6340308E-001	2.822008431299285E-001	1.287799967467436E+000
-4.6437448E-001	2.807012259553510E-001	1.309999966906616E+000
-4.6535090E-001	2.776529573493951E-001	1.332199966345797E+000
-4.6633843E-001	2.733028212490802E-001	1.354399965784978E+000
-4.6737131E-001	2.799272266915078E-001	1.376599965224159E+000
-4.6832088E-001	2.669988317787655E-001	1.398999964658287E+000
-4.6940967E-001	2.670942131886251E-001	1.421199964097468E+000
-4.7035325E-001	2.750011462013546E-001	1.443399963536649E+000
-4.7137237E-001	2.688721718089662E-001	1.465599962975830E+000
-4.7235239E-001	2.628591035256795E-001	1.487799962415011E+000
-4.7338924E-001	2.623915398862842E-001	1.509999961854192E+000
-4.7432977E-001	2.603458372711520E-001	1.532199961293372E+000
-4.7535250E-001	2.484816332602255E-001	1.554399960732553E+000
-4.7633722E-001	2.507583209996425E-001	1.576599960171734E+000
-4.7735336E-001	2.632904357860487E-001	1.598999959605862E+000
-4.7838554E-001	2.663027578303585E-001	1.621199959045043E+000
-4.7936484E-001	2.663553375549007E-001	1.643399958484224E+000
-4.8033768E-001	2.626976903484519E-001	1.665599957923405E+000
-4.8136541E-001	2.639203184032821E-001	1.687799957362586E+000
-4.8235700E-001	2.633576763169834E-001	1.709999956801767E+000
-4.8334372E-001	2.532768220010524E-001	1.732199956240947E+000
-4.8430681E-001	2.545772112614157E-001	1.754399955680128E+000
-4.8531985E-001	2.605676399165144E-001	1.776599955119309E+000
-4.8633885E-001	2.401447969976194E-001	1.798999954553437E+000
-4.8735291E-001	2.303256137364853E-001	1.821199953992618E+000
-4.8835576E-001	2.456300514619798E-001	1.843399953431799E+000
-4.8930213E-001	2.352268610590444E-001	1.865599952870980E+000
-4.9035719E-001	2.101963251091852E-001	1.887799952310161E+000
-4.9132389E-001	2.025427762083716E-001	1.909999951749342E+000
-4.9231181E-001	2.122638205935561E-001	1.932199951188522E+000
-4.9333975E-001	2.076962060371104E-001	1.954399950627703E+000
-4.9434534E-001	2.114389323582859E-001	1.976599950066884E+000
-4.9537426E-001	2.050134491229740E-001	1.998999949501012E+000
-4.9634749E-001	2.035901027478588E-001	2.021199948940193E+000
-4.9735618E-001	2.018776604095471E-001	2.043399948379374E+000
-4.9837047E-001	2.035185597844729E-001	2.065599947818555E+000
-4.9941018E-001	2.156160280097588E-001	2.087799947257736E+000
-5.0035465E-001	2.228169538765217E-001	2.109999946696917E+000
-5.0136852E-001	2.242454316240428E-001	2.132199946136097E+000
-5.0238085E-001	2.081579015126143E-001	2.154399945575278E+000
-5.0335407E-001	1.952041974016467E-001	2.176599945014459E+000
-5.0436455E-001	1.904709945592724E-001	2.198999944448587E+000
