Ewe/V	<I>/mA	time/s	
-4.0371406E-001	2.616416931152344E+000	0.000000000000000E+000
-4.0413097E-001	2.264531066158298E+000	2.199999944423325E-002
-4.0515774E-001	1.851140297144468E+000	6.199999843374826E-002
-4.0614325E-001	1.525462051968521E+000	1.019999974232633E-001
-4.0713394E-001	1.252758597035280E+000	1.419999964127783E-001
-4.0814903E-001	1.067713535356305E+000	1.819999954022933E-001
-4.0913337E-001	9.821229903372330E-001	2.219999943918083E-001
-4.1020477E-001	9.170274272055181E-001	2.619999933813233E-001
-4.1119865E-001	8.214477160255687E-001	3.019999923708383E-001
-4.1216177E-001	7.726207809108860E-001	3.419999913603533E-001
-4.1320023E-001	7.212118147010056E-001	3.819999903498683E-001
-4.1418242E-001	6.578845492690633E-001	4.219999893393833E-001
-4.1519126E-001	5.806143067742653E-001	4.619999883288983E-001
-4.1613421E-001	5.848284742139551E-001	5.019999873184133E-001
-4.1717264E-001	5.470107681301917E-001	5.419999863079283E-001
-4.1815379E-001	5.202686197388857E-001	5.819999852974433E-001
-4.1913927E-001	4.860740465307494E-001	6.219999842869584E-001
-4.2013106E-001	4.685818425460173E-001	6.619999832764734E-001
-4.2115992E-001	4.660625927736639E-001	7.019999822659884E-001
-4.2213684E-001	4.743578952081773E-001	7.419999812555034E-001
-4.2353016E-001	4.318158992693566E-001	7.979999798408244E-001
-4.2497346E-001	4.024506305486995E-001	8.541999784210930E-001
-4.2597315E-001	3.710314865885174E-001	8.939999774156604E-001
-4.2694360E-001	3.827174774087094E-001	9.341999764001230E-001
-4.2794180E-001	3.911202279574142E-001	9.740999753921642E-001
-4.2893723E-001	3.843194633969498E-001	1.014199974379153E+000
-4.2995548E-001	3.497761958623666E-001	1.054199973368668E+000
-4.3099391E-001	3.217841277968274E-001	1.094199972358183E+000
-4.3194431E-001	3.136158403998000E-001	1.134199971347698E+000
-4.3291709E-001	3.315011050845333E-001	1.174199970337213E+000
-4.3395761E-001	3.079097294881012E-001	1.214199969326728E+000
-4.3496212E-001	2.807044335066071E-001	1.254199968316243E+000
-4.3596345E-001	2.679983018725007E-001	1.294199967305758E+000
-4.3700188E-001	2.722226040679270E-001	1.334199966295273E+000
-4.3797040E-001	2.833076934100216E-001	1.374199965284788E+000
-4.3894094E-001	2.651937273589686E-001	1.414199964274303E+000
-4.3998253E-001	2.661232892826297E-001	1.454199963263818E+000
-4.4097960E-001	2.443089690964877E-001	1.494199962253333E+000
-4.4193754E-001	2.365185137375345E-001	1.534199961242848E+000
-4.4297063E-001	2.407641749423757E-001	1.574199960232363E+000
-4.4394970E-001	2.389945919542100E-001	1.614199959221878E+000
-4.4495207E-001	2.154335476038409E-001	1.654199958211393E+000
-4.4594491E-001	2.130985260009766E-001	1.694199957200908E+000
-4.4694629E-001	2.315098588400870E-001	1.734199956190423E+000
-4.4798362E-001	2.197836882946431E-001	1.774199955179938E+000
-4.4894993E-001	1.933621231891953E-001	1.814199954169453E+000
-4.4995016E-001	2.051327317625420E-001	1.854199953158968E+000
-4.5093146E-001	2.140053215402137E-001	1.894199952148483E+000
-4.5196348E-001	2.211907120151322E-001	1.934199951137998E+000
-4.5297855E-001	2.104908406510262E-001	1.974199950127513E+000
-4.5396504E-001	2.193159804992764E-001	2.014199949117028E+000
-4.5495158E-001	2.274834552052556E-001	2.054199948106543E+000
-4.5597520E-001	2.152158526278298E-001	2.094199947096058E+000
-4.5691070E-001	2.053640966021955E-001	2.134199946085573E+000
-4.5794490E-001	2.082705107103617E-001	2.174199945075088E+000
-4.5891967E-001	2.117940942774090E-001	2.214199944064603E+000
-4.5998687E-001	2.164395556650067E-001	2.254199943054118E+000
-4.6095318E-001	2.131773581394905E-001	2.294199942043633E+000
-4.6194384E-001	2.159805198266156E-001	2.334199941033148E+000
-4.6296960E-001	2.156536782557077E-001	2.374199940022663E+000
-4.6395287E-001	2.034870745142769E-001	2.414199939012178E+000
-4.6490228E-001	1.955669910552111E-001	2.454199938001693E+000
-4.6595982E-001	1.898654521267606E-001	2.494199936991208E+000
-4.6694198E-001	1.671230698544770E-001	2.534199935980723E+000
-4.6796453E-001	1.743731897778500E-001	2.574199934970238E+000
-4.6895748E-001	1.878099732192949E-001	2.614199933959753E+000
-4.6993431E-001	1.818251758813854E-001	2.654199932949268E+000
-4.7094518E-001	1.836978735295873E-001	2.694199931938783E+000
-4.7200590E-001	1.819300852747587E-001	2.734199930928298E+000
-4.7295848E-001	1.728759577776660E-001	2.774199929917813E+000
-4.7396725E-001	1.746919800205462E-001	2.814199928907328E+000
-4.7499719E-001	1.570107105624992E-001	2.854199927896843E+000
-4.7595927E-001	1.611435473048606E-001	2.894199926886358E+000
-4.7695631E-001	1.680281488411699E-001	2.934199925875873E+000
-4.7794077E-001	1.728737535239715E-001	2.974199924865388E+000
-4.7898233E-001	1.657263372211293E-001	3.014199923854903E+000
-4.7993699E-001	1.709489246189344E-001	3.054199922844418E+000
-4.8091921E-001	1.531910131538847E-001	3.094199921833933E+000
-4.8192158E-001	1.561083138825508E-001	3.134199920823448E+000
-4.8292616E-001	1.461410426554837E-001	3.174199919812963E+000
-4.8397097E-001	1.520275349030271E-001	3.214199918802478E+000
-4.8491073E-001	1.476194735438228E-001	3.254199917791993E+000
-4.8593327E-001	1.373826214069220E-001	3.294199916781508E+000
-4.8698348E-001	1.366326650719587E-001	3.334199915771023E+000
-4.8797628E-001	1.400045898633743E-001	3.374199914760538E+000
-4.8897123E-001	1.405776701795722E-001	3.414199913750053E+000
-4.8994499E-001	1.407577969941578E-001	3.454199912739568E+000
-4.9095589E-001	1.359222363766835E-001	3.494199911729083E+000
-4.9196783E-001	1.372717824350636E-001	3.534199910718598E+000
-4.9293092E-001	1.447777619088115E-001	3.574199909708113E+000
-4.9393755E-001	1.464194829940775E-001	3.614199908697628E+000
-4.9494946E-001	1.444560970297593E-001	3.654199907687143E+000
-4.9594349E-001	1.494608019869546E-001	3.694199906676658E+000
-4.9698505E-001	1.535046645008995E-001	3.734199905666173E+000
-4.9795347E-001	1.461562058460082E-001	3.774199904655688E+000
-4.9892294E-001	1.362297671076695E-001	3.814199903645203E+000
-4.9995080E-001	1.307640033156070E-001	3.854199902634718E+000
-5.0091088E-001	1.240288782613295E-001	3.894199901624233E+000
-5.0195879E-001	1.165312667137286E-001	3.934199900613748E+000
-5.0296539E-001	1.236647370962700E-001	3.974199899603263E+000
-5.0392854E-001	1.292338731215783E-001	4.014199898592778E+000
-5.0492364E-001	1.350384931709550E-001	4.054199897582293E+000
-5.0592703E-001	1.284620060260631E-001	4.094199896571808E+000
-5.0693148E-001	1.251041010104085E-001	4.134199895561324E+000
-5.0789881E-001	1.291795651597993E-001	4.174199894550839E+000
-5.0894475E-001	1.346125593523914E-001	4.214199893540354E+000
-5.1000661E-001	1.341144587890602E-001	4.254199892529869E+000
-5.1097500E-001	1.392289312473025E-001	4.294199891519384E+000
-5.1201344E-001	1.283279707709930E-001	4.334199890508899E+000
-5.1301897E-001	1.302108267799342E-001	4.374199889498414E+000
-5.1402462E-001	1.303427816745190E-001	4.414199888487929E+000
-5.1491565E-001	1.205534214458579E-001	4.454199887477444E+000
-5.1596147E-001	1.309866479937174E-001	4.494199886466959E+000
-5.1699358E-001	1.265808431055095E-001	4.534199885456474E+000
-5.1796311E-001	1.263069219989297E-001	4.574199884445989E+000
-5.1901323E-001	1.224018053200528E-001	4.614199883435504E+000
-5.1998693E-001	1.209274992867040E-001	4.654199882425019E+000
-5.2098829E-001	1.285452004435848E-001	4.694199881414534E+000
-5.2198529E-001	1.388184597606510E-001	4.734199880404049E+000
-5.2297401E-001	1.359533052057895E-001	4.774199879393564E+000
-5.2398694E-001	1.447196135018594E-001	4.814199878383079E+000
-5.2498299E-001	1.332626974448723E-001	4.854199877372594E+000
-5.2599269E-001	1.300943030639454E-001	4.894199876362109E+000
-5.2697712E-001	1.267397735989366E-001	4.934199875351624E+000
-5.2798808E-001	1.250641314825907E-001	4.974199874341139E+000
-5.2894372E-001	1.289105543659794E-001	5.014199873330654E+000
-5.2998424E-001	1.111907768630953E-001	5.054199872320169E+000
-5.3100997E-001	1.162240494374636E-001	5.094199871309684E+000
-5.3197002E-001	1.120762554634025E-001	5.134199870299199E+000
-5.3301269E-001	1.217937820345267E-001	5.174199869288714E+000
-5.3394401E-001	1.199660412191104E-001	5.214199868278229E+000
-5.3494424E-001	1.125294797102360E-001	5.254199867267744E+000
-5.3599751E-001	1.045601915849812E-001	5.294199866257259E+000
-5.3697985E-001	1.032002842474875E-001	5.334199865246774E+000
-5.3797370E-001	1.001111886465496E-001	5.374199864236289E+000
-5.3893793E-001	9.716617774482739E-002	5.414199863225804E+000
-5.3997523E-001	9.569960555211177E-002	5.454199862215319E+000
