Ewe/V	<I>/mA	time/s	
-4.1032025E-001	1.033293008804321E+000	0.000000000000000E+000
-4.1087303E-001	1.021689579304727E+000	5.499999861058313E-003
-4.1188917E-001	9.979088485447924E-001	1.549999960843707E-002
-4.1288412E-001	9.589462650215488E-001	2.549999935581582E-002
-4.1386315E-001	9.023780867767881E-001	3.549999910319457E-002
-4.1484228E-001	8.700216798008320E-001	4.549999885057332E-002
-4.1585526E-001	8.461226122453844E-001	5.549999859795207E-002
-4.1686609E-001	8.150008238024231E-001	6.549999834533082E-002
-4.1784939E-001	7.847976232878890E-001	7.549999809270957E-002
-4.1887188E-001	7.727191221072456E-001	8.549999784008833E-002
-4.1986907E-001	7.606071411218096E-001	9.549999758746708E-002
-4.2083851E-001	7.556153132269792E-001	1.054999973348458E-001
-4.2189711E-001	7.370118915827746E-001	1.154999970822246E-001
-4.2284751E-001	7.352631685013596E-001	1.254999968296033E-001
-4.2386186E-001	7.166261479603460E-001	1.356999965719297E-001
-4.2484343E-001	7.114539819942056E-001	1.454999963243608E-001
-4.2582822E-001	6.978338016817975E-001	1.556999960666872E-001
-4.2683420E-001	6.943140256598035E-001	1.654999958191183E-001
-4.2786154E-001	6.899004406192226E-001	1.756999955614447E-001
-4.2886084E-001	6.843226679807755E-001	1.856999953088234E-001
-4.2983881E-001	6.729490174394542E-001	1.956999950562022E-001
-4.3083695E-001	6.514381329632499E-001	2.056999948035809E-001
-4.3184674E-001	6.360882904587530E-001	2.156999945509597E-001
-4.3285874E-001	6.067912128443549E-001	2.256999942983384E-001
-4.3383139E-001	5.982790247330261E-001	2.356999940457172E-001
-4.3485606E-001	5.761464060698120E-001	2.456999937930959E-001
-4.3587860E-001	5.642233537510046E-001	2.556999935404747E-001
-4.3687677E-001	5.591927315108505E-001	2.656999932878534E-001
-4.3787599E-001	5.388493746933012E-001	2.756999930352322E-001
-4.3890166E-001	5.289029251887563E-001	2.856999927826109E-001
-4.3985313E-001	5.186190796084702E-001	2.956999925299897E-001
-4.4088095E-001	5.056097505924628E-001	3.056999922773684E-001
-4.4185269E-001	4.874355275339131E-001	3.156999920247472E-001
-4.4284546E-001	4.704624680129610E-001	3.256999917721259E-001
-4.4389135E-001	4.666912466701536E-001	3.356999915195047E-001
-4.4480994E-001	4.626780384116702E-001	3.456999912668834E-001
-4.4583878E-001	4.626215358213006E-001	3.556999910142622E-001
-4.4687307E-001	4.574778554184977E-001	3.656999907616409E-001
-4.4787332E-001	4.484463736621880E-001	3.756999905090197E-001
-4.4886506E-001	4.435870614316737E-001	3.856999902563985E-001
-4.4989821E-001	4.370532581944850E-001	3.956999900037772E-001
-4.5387280E-001	3.948281184097553E-001	4.356999889932922E-001
-4.5486557E-001	3.969961653153122E-001	4.456999887406710E-001
-4.5586064E-001	3.881314597092569E-001	4.556999884880497E-001
-4.5685658E-001	3.827712276122641E-001	4.656999882354285E-001
-4.5790464E-001	3.796685288349795E-001	4.756999879828072E-001
-4.5888045E-001	3.803405687989052E-001	4.856999877301860E-001
-4.5984897E-001	3.801510018658727E-001	4.956999874775647E-001
-4.6085873E-001	3.724028572647100E-001	5.056999872249435E-001
-4.6190250E-001	3.717965273600505E-001	5.156999869723222E-001
-4.6284443E-001	3.617677075995344E-001	5.256999867197010E-001
-4.6386909E-001	3.558792213702380E-001	5.356999864670797E-001
-4.6489909E-001	3.476010842455762E-001	5.456999862144585E-001
-4.6587810E-001	3.502414565171228E-001	5.556999859618372E-001
-4.6683380E-001	3.512926480163729E-001	5.656999857092160E-001
-4.6786696E-001	3.576834216817408E-001	5.756999854565947E-001
-4.6886197E-001	3.603785680606975E-001	5.856999852039735E-001
-4.6986857E-001	3.601951614125742E-001	5.956999849513522E-001
-4.7088584E-001	3.575268790332817E-001	6.056999846987310E-001
-4.7187224E-001	3.631784431895042E-001	6.156999844461097E-001
