Ewe/V	<I>/mA	time/s	
-4.0949926E-001	1.185971379280090E+000	0.000000000000000E+000
-4.0994456E-001	1.174468138180675E+000	6.199999843374826E-003
-4.1099852E-001	1.113883339725440E+000	1.739999956043903E-002
-4.1198581E-001	1.080574502665552E+000	2.839999928255565E-002
-4.1298112E-001	1.072218187768018E+000	3.959999899961986E-002
-4.1397706E-001	1.062414322569968E+000	5.059999872173648E-002
-4.1495293E-001	1.048205217402430E+000	6.179999843880069E-002
-4.1594231E-001	1.027353866063057E+000	7.279999816091731E-002
-4.1697827E-001	9.798796861339394E-001	8.399999787798151E-002
-4.1794309E-001	9.473914346843948E-001	9.499999760009814E-002
-4.1898477E-001	9.223995065502812E-001	1.061999973171623E-001
-4.1997880E-001	9.073440647497772E-001	1.173999970342265E-001
-4.2098674E-001	9.134884181246203E-001	1.283999967563432E-001
-4.2198396E-001	9.053559818863892E-001	1.395999964734074E-001
-4.2297217E-001	8.904871595464670E-001	1.505999961955240E-001
-4.2399180E-001	8.856101678591273E-001	1.617999959125882E-001
-4.2498350E-001	8.680963213462398E-001	1.727999956347048E-001
-4.2594248E-001	8.604793203901480E-001	1.839999953517690E-001
-4.2697430E-001	8.458568906132165E-001	1.951999950688332E-001
-4.2791903E-001	8.032379223685742E-001	2.061999947909499E-001
-4.2897511E-001	7.704712307639436E-001	2.173999945080141E-001
-4.2994598E-001	7.321455362252891E-001	2.283999942301307E-001
-4.3095425E-001	7.182013216428462E-001	2.395999939471949E-001
-4.3194920E-001	7.272898617759376E-001	2.505999936693115E-001
-4.3294552E-001	7.115660716500152E-001	2.617999933863757E-001
-4.3393338E-001	7.003231431264432E-001	2.727999931084923E-001
-4.3494490E-001	6.920610007829962E-001	2.839999928255565E-001
-4.3598372E-001	6.839920891914550E-001	2.951999925426207E-001
-4.3701786E-001	6.814516975451301E-001	3.061999922647374E-001
-4.3801489E-001	6.753804749622971E-001	3.173999919818016E-001
-4.3902355E-001	6.546652287244819E-001	3.283999917039182E-001
-4.4005421E-001	6.360462442599237E-001	3.395999914209824E-001
-4.4097358E-001	6.175086380448223E-001	3.505999911430990E-001
-4.4195858E-001	6.169455434288871E-001	3.617999908601632E-001
-4.4298768E-001	6.117954817414315E-001	3.727999905822799E-001
-4.4394481E-001	6.012376963905997E-001	3.839999902993441E-001
-4.4497910E-001	6.060879613179715E-001	3.951999900164083E-001
-4.4595209E-001	5.925189183745538E-001	4.061999897385249E-001
-4.4695815E-001	5.787651324085914E-001	4.173999894555891E-001
-4.4794849E-001	5.590171291213513E-001	4.283999891777057E-001
-4.4899538E-001	5.420924831647440E-001	4.395999888947699E-001
-4.4997671E-001	5.486482255067680E-001	4.505999886168865E-001
-4.5099041E-001	5.422867382969727E-001	4.617999883339508E-001
-4.5199832E-001	5.409889003448196E-001	4.727999880560674E-001
-4.5294997E-001	5.369060814753173E-001	4.839999877731316E-001
-4.5397064E-001	5.229014829173728E-001	4.951999874901958E-001
-4.5492855E-001	5.115176904201535E-001	5.061999872123124E-001
-4.5599338E-001	5.124079068284502E-001	5.173999869293766E-001
-4.5699054E-001	5.220687431469577E-001	5.283999866514932E-001
-4.5795804E-001	5.252231238689289E-001	5.395999863685574E-001
