Ewe/V	<I>/mA	time/s	
-4.0625343E-001	1.450312972068787E+000	0.000000000000000E+000
-4.0687203E-001	1.358232778124510E+000	9.999999747378752E-003
-4.0786803E-001	1.245930336424850E+000	2.819999928760808E-002
-4.0885949E-001	1.157339790549763E+000	4.639999882783741E-002
-4.0987608E-001	1.096345015176823E+000	6.459999836806674E-002
-4.1088101E-001	1.031605748016750E+000	8.279999790829606E-002
-4.1192842E-001	9.910844492576572E-001	1.008999974510516E-001
-4.1287455E-001	9.547577421192388E-001	1.190999969912809E-001
-4.1390505E-001	8.853112826464553E-001	1.371999965340365E-001
-4.1484377E-001	8.523174308808326E-001	1.553999960742658E-001
-4.1588843E-001	8.286336535974073E-001	1.735999956144951E-001
-4.1686261E-001	7.767643842823437E-001	1.917999951547245E-001
-4.1786292E-001	7.557454464911704E-001	2.099999946949538E-001
-4.1887531E-001	7.421245384461628E-001	2.281999942351831E-001
-4.1991812E-001	7.109423353586619E-001	2.463999937754124E-001
-4.2086902E-001	6.646157656546414E-001	2.645999933156418E-001
-4.2184854E-001	6.350342075385877E-001	2.827999928558711E-001
-4.2284754E-001	6.088021847270007E-001	3.008999923986266E-001
-4.2384565E-001	6.056543021083451E-001	3.190999919388560E-001
-4.2482024E-001	5.713877436432355E-001	3.371999914816115E-001
-4.2580494E-001	5.468619236631742E-001	3.553999910218408E-001
-4.2682481E-001	5.686702091882876E-001	3.735999905620702E-001
-4.2782077E-001	5.340758148092419E-001	3.917999901022995E-001
-4.2885488E-001	5.093919865639371E-001	4.099999896425288E-001
-4.2981741E-001	4.927836818495628E-001	4.281999891827581E-001
-4.3085194E-001	4.757794708524634E-001	4.463999887229875E-001
-4.3186247E-001	4.505362219767777E-001	4.645999882632168E-001
-4.3283424E-001	4.616751935060444E-001	4.827999878034461E-001
-4.3471539E-001	4.386252673665858E-001	5.163999869546387E-001
-4.3656427E-001	4.265539534310481E-001	5.499999861058313E-001
-4.3760824E-001	4.201026749024859E-001	5.681999856460607E-001
-4.3859407E-001	4.228097847253993E-001	5.863999851862900E-001
-4.3954930E-001	4.123213973884461E-001	6.045999847265193E-001
-4.4057330E-001	4.233691565919591E-001	6.227999842667487E-001
-4.4158894E-001	4.291313123582619E-001	6.409999838069780E-001
-4.4257706E-001	4.226534471755139E-001	6.590999833497335E-001
-4.4356462E-001	4.095626424917578E-001	6.772999828899628E-001
-4.4458678E-001	4.074744925561662E-001	6.953999824327184E-001
-4.4553265E-001	4.073351292382565E-001	7.135999819729477E-001
-4.4658917E-001	3.971421743220676E-001	7.317999815131770E-001
-4.4757193E-001	3.950044838234610E-001	7.499999810534064E-001
-4.4859365E-001	3.836622789138686E-001	7.681999805936357E-001
-4.4958293E-001	3.847731541217563E-001	7.863999801338650E-001
-4.5058697E-001	3.716344767204696E-001	8.045999796740944E-001
-4.5156136E-001	3.637164763776917E-001	8.227999792143237E-001
-4.5257953E-001	3.562962168134844E-001	8.409999787545530E-001
-4.5354289E-001	3.482845970486985E-001	8.590999782973086E-001
-4.5458028E-001	3.522653854716526E-001	8.772999778375379E-001
-4.5551124E-001	3.490814264954596E-001	8.953999773802934E-001
-4.5652035E-001	3.261075871508203E-001	9.135999769205227E-001
-4.5756912E-001	3.223684267311295E-001	9.317999764607521E-001
-4.5860645E-001	3.221867068602537E-001	9.499999760009814E-001
-4.5957005E-001	3.238887103512980E-001	9.681999755412107E-001
-4.6059465E-001	3.199849431743700E-001	9.863999750814401E-001
-4.6160352E-001	3.178317831261323E-001	1.004599974621669E+000
-4.6259898E-001	3.094060753051924E-001	1.022799974161899E+000
-4.6355098E-001	3.132926112824563E-001	1.040999973702128E+000
-4.6459463E-001	3.126141211236453E-001	1.059099973244884E+000
-4.6552908E-001	3.058754679390505E-001	1.077299972785113E+000
-4.6654058E-001	2.869733938708814E-001	1.095399972327868E+000
-4.6755505E-001	2.858002593593172E-001	1.113599971868098E+000
-4.6857327E-001	2.736381159550163E-001	1.131799971408327E+000
-4.6953842E-001	2.583609163221654E-001	1.149999970948556E+000
-4.7050223E-001	2.506881067057989E-001	1.168199970488786E+000
-4.7153792E-001	2.591025238839641E-001	1.186399970029015E+000
-4.7255835E-001	2.630312057302842E-001	1.204599969569244E+000
-4.7354552E-001	2.694707793433492E-001	1.222799969109474E+000
-4.7454932E-001	2.765364317484669E-001	1.240999968649703E+000
-4.7555512E-001	2.719886283660422E-001	1.259099968192459E+000
-4.7653627E-001	2.714759046993693E-001	1.277299967732688E+000
-4.7752550E-001	2.731606203256316E-001	1.295399967275443E+000
-4.7856629E-001	2.724015327619114E-001	1.313599966815673E+000
-4.7954941E-001	2.749692703722184E-001	1.331799966355902E+000
-4.8056915E-001	2.655417992358626E-001	1.349999965896131E+000
-4.8154494E-001	2.572000458030175E-001	1.368199965436361E+000
-4.8254329E-001	2.570647891128165E-001	1.386399964976590E+000
-4.8358732E-001	2.547527432498500E-001	1.404599964516819E+000
-4.8454034E-001	2.496897817844888E-001	1.422799964057049E+000
-4.8554510E-001	2.444275927235851E-001	1.440999963597278E+000
-4.8655379E-001	2.385227715475828E-001	1.459099963140034E+000
-4.8755300E-001	2.342999407314452E-001	1.477299962680263E+000
-4.8857564E-001	2.383757648824876E-001	1.495399962223019E+000
-4.8957697E-001	2.449652771204267E-001	1.513599961763248E+000
-4.9057972E-001	2.434874376838621E-001	1.531799961303477E+000
-4.9155831E-001	2.455136597673293E-001	1.549999960843707E+000
-4.9257702E-001	2.528959817150837E-001	1.568199960383936E+000
-4.9357349E-001	2.383345322655064E-001	1.586399959924165E+000
-4.9458203E-001	2.311881362540060E-001	1.604599959464394E+000
-4.9557945E-001	2.298808581684151E-001	1.622799959004624E+000
-4.9655521E-001	2.280260621394010E-001	1.640999958544853E+000
-4.9758857E-001	2.301848995108393E-001	1.659099958087609E+000
-4.9856871E-001	2.315800510266408E-001	1.677299957627838E+000
-4.9957609E-001	2.264081077877345E-001	1.695399957170594E+000
-5.0051099E-001	2.211976023680509E-001	1.713599956710823E+000
-5.0158292E-001	2.229462318917421E-001	1.731799956251052E+000
-5.0250977E-001	2.269471221540984E-001	1.749999955791282E+000
-5.0354278E-001	2.286888658455237E-001	1.768199955331511E+000
-5.0457007E-001	2.304850016402580E-001	1.786399954871740E+000
-5.0559759E-001	2.342791791028542E-001	1.804599954411970E+000
-5.0652522E-001	2.353762279963116E-001	1.822799953952199E+000
-5.0753570E-001	2.208025491648786E-001	1.840999953492428E+000
-5.0858092E-001	2.157460041430390E-001	1.859099953035184E+000
-5.0955677E-001	2.082343068468262E-001	1.877299952575413E+000
-5.1055098E-001	1.990874492228265E-001	1.895399952118169E+000
-5.1154661E-001	1.979084102896880E-001	1.913599951658398E+000
-5.1261365E-001	1.998242010970086E-001	1.931799951198627E+000
-5.1361006E-001	1.949370632646612E-001	1.949999950738857E+000
-5.1457918E-001	1.936534544248589E-001	1.968199950279086E+000
-5.1555288E-001	1.964028957441855E-001	1.986399949819315E+000
-5.1660186E-001	2.017612631194197E-001	2.004599949359545E+000
-5.1757121E-001	2.010774599643792E-001	2.022799948899774E+000
-5.1855719E-001	1.994119383928528E-001	2.040999948440003E+000
-5.1957536E-001	1.991017142764897E-001	2.059099947982759E+000
-5.2058941E-001	1.981087019707272E-001	2.077299947522988E+000
-5.2158183E-001	1.904647008089992E-001	2.095399947065744E+000
-5.2259701E-001	1.928912488550596E-001	2.113599946605973E+000
-5.2354050E-001	1.911527014365872E-001	2.131799946146202E+000
-5.2460492E-001	1.899438818292010E-001	2.149999945686432E+000
-5.2558935E-001	1.889550152399417E-001	2.168199945226661E+000
-5.2661932E-001	1.759288654588844E-001	2.186399944766890E+000
-5.2760994E-001	1.744998574313685E-001	2.204599944307120E+000
-5.2861887E-001	1.657699200983462E-001	2.222799943847349E+000
-5.2962452E-001	1.622169437312819E-001	2.240999943387578E+000
-5.3057718E-001	1.600205041554386E-001	2.259099942930334E+000
-5.3160709E-001	1.510916400125915E-001	2.277299942470563E+000
-5.3260052E-001	1.455264035481734E-001	2.295399942013319E+000
-5.3356624E-001	1.495106823407348E-001	2.313599941553548E+000
-5.3454268E-001	1.507962635286702E-001	2.331799941093777E+000
-5.3558290E-001	1.550191379669015E-001	2.349999940634007E+000
-5.3661150E-001	1.489928072829528E-001	2.368199940174236E+000
-5.3759480E-001	1.426961204042754E-001	2.386399939714465E+000
-5.3858274E-001	1.466308261392775E-001	2.404599939254695E+000
-5.3957248E-001	1.518865287508362E-001	2.422799938794924E+000
