Ewe/V	<I>/mA	time/s	
-4.0170926E-001	1.037642583250999E-001	0.000000000000000E+000
-4.0258619E-001	9.335090592768669E-002	4.999999873689376E-002
-4.0373540E-001	9.532278256983884E-002	1.299999967159238E-001
-4.0476871E-001	7.876737526549471E-002	1.965999950334663E-001
-4.0573770E-001	7.344159280502338E-002	2.633999933459563E-001
-4.0667030E-001	6.479671519989255E-002	3.299999916634988E-001
-4.0765578E-001	5.515943678506785E-002	3.965999899810413E-001
-4.0892151E-001	4.832381111114370E-002	4.766999879575451E-001
-4.1011545E-001	4.610510539306878E-002	5.565999859391013E-001
-4.1116536E-001	5.448611951099858E-002	6.233999842515914E-001
-4.1223213E-001	5.588671342780216E-002	6.899999825691339E-001
-4.1320977E-001	5.345344240845684E-002	7.565999808866763E-001
-4.1414422E-001	5.183727868595234E-002	8.233999791991664E-001
-4.1515732E-001	3.754513899592560E-002	8.899999775167089E-001
-4.1612643E-001	4.341308982816849E-002	9.565999758342514E-001
-4.1711614E-001	3.539933872861134E-002	1.023399974146741E+000
-4.1819876E-001	3.754871649313812E-002	1.089999972464284E+000
-4.1916338E-001	3.873542700332658E-002	1.156599970781826E+000
-4.2001161E-001	3.581000920029037E-002	1.223399969094316E+000
-4.2122096E-001	3.286026712106399E-002	1.289999967411859E+000
-4.2220590E-001	3.284920306501937E-002	1.356599965729401E+000
-4.2320117E-001	3.228115749799926E-002	1.423399964041892E+000
-4.2417333E-001	2.985466482966914E-002	1.489999962359434E+000
-4.2520082E-001	2.979517008553953E-002	1.556699960674450E+000
-4.2616406E-001	2.600807625866569E-002	1.623399958989467E+000
-4.2721149E-001	2.361989558649283E-002	1.689999957307009E+000
-4.2815515E-001	2.214251395669881E-002	1.756799955619499E+000
-4.2916954E-001	2.180621879507427E-002	1.823399953937042E+000
-4.3023586E-001	2.886601767649968E-002	1.889999952254584E+000
-4.3113834E-001	3.164453138830142E-002	1.956799950567074E+000
-4.3214938E-001	2.435738250051689E-002	2.023399948884617E+000
-4.3315893E-001	2.248722330802895E-002	2.089999947202159E+000
-4.3423021E-001	2.488098851056984E-002	2.156799945514649E+000
-4.3524122E-001	2.644453762623014E-002	2.223399943832192E+000
-4.3617615E-001	2.730299250008161E-002	2.289999942149734E+000
-4.3712014E-001	2.415801991175584E-002	2.356799940462224E+000
-4.3812618E-001	1.879492285435430E-002	2.423399938779767E+000
-4.3918064E-001	1.947388094478972E-002	2.489999937097309E+000
-4.4015783E-001	2.430268526576035E-002	2.556799935409799E+000
-4.4114709E-001	2.144699296392444E-002	2.623399933727342E+000
-4.4212183E-001	1.936634150769689E-002	2.689999932044884E+000
-4.4313899E-001	1.810388647284648E-002	2.756799930357374E+000
