Ewe/V	<I>/mA	time/s	
-4.0453506E-001	1.848637461662292E+000	0.000000000000000E+000
-4.0506503E-001	1.620845818473587E+000	1.559999960591085E-002
-4.0605986E-001	1.357216461669033E+000	4.419999888341408E-002
-4.0702426E-001	1.213419426247130E+000	7.279999816091731E-002
-4.0807161E-001	1.127993952872800E+000	1.012999974409468E-001
-4.0904030E-001	1.094780081002973E+000	1.298999967184500E-001
-4.1008174E-001	1.018183146493051E+000	1.584999959959532E-001
-4.1106966E-001	9.342610207749040E-001	1.870999952734564E-001
-4.1208762E-001	8.539534078653173E-001	2.155999945534859E-001
-4.1309154E-001	8.064242157055403E-001	2.441999938309891E-001
-4.1403592E-001	7.342340140035244E-001	2.727999931084923E-001
-4.1509917E-001	7.171231340087498E-001	3.012999923885218E-001
-4.1604310E-001	6.996150339897564E-001	3.298999916660250E-001
-4.1705847E-001	6.821128452982634E-001	3.584999909435282E-001
-4.1802990E-001	6.287482587408171E-001	3.870999902210315E-001
-4.1907939E-001	5.806325051605756E-001	4.155999895010609E-001
-4.2004368E-001	5.975696919323106E-001	4.441999887785641E-001
-4.2102081E-001	5.664773164386308E-001	4.727999880560674E-001
-4.2206353E-001	5.604439810449176E-001	5.012999873360968E-001
-4.2308393E-001	5.217004976138728E-001	5.298999866136000E-001
-4.2406538E-001	5.143456518909275E-001	5.584999858911033E-001
-4.2510545E-001	5.051364158814771E-001	5.870999851686065E-001
-4.2604253E-001	4.881335845961075E-001	6.156999844461097E-001
-4.2706594E-001	4.626901590322845E-001	6.441999837261392E-001
-4.2806500E-001	4.716669932451978E-001	6.727999830036424E-001
-4.2904279E-001	4.779948710953859E-001	7.013999822811456E-001
-4.3006450E-001	4.615298978390978E-001	7.298999815611751E-001
-4.3106261E-001	4.547268870623924E-001	7.584999808386783E-001
-4.3206427E-001	4.602873589755514E-001	7.870999801161815E-001
-4.3304986E-001	4.493523950527987E-001	8.156999793936848E-001
-4.3408623E-001	4.677029603754801E-001	8.441999786737142E-001
-4.3507406E-001	4.698333474963359E-001	8.727999779512174E-001
-4.3606368E-001	4.520476272082306E-001	9.013999772287207E-001
-4.3707693E-001	4.335883326347880E-001	9.298999765087501E-001
-4.3809932E-001	4.087269052236748E-001	9.584999757862533E-001
-4.3909186E-001	4.083585027899579E-001	9.870999750637566E-001
-4.4104910E-001	4.167571566088428E-001	1.044199973621289E+000
-4.4203267E-001	4.091404893794488E-001	1.072799972898792E+000
-4.4307360E-001	4.017699380111446E-001	1.101399972176296E+000
-4.4405827E-001	3.852569289758492E-001	1.129899971456325E+000
-4.4506484E-001	3.642709384001588E-001	1.158499970733828E+000
-4.4602123E-001	3.563102311226096E-001	1.187099970011332E+000
-4.4705132E-001	3.729145112088181E-001	1.215699969288835E+000
-4.4810459E-001	3.741194538088171E-001	1.244199968568864E+000
-4.4904229E-001	3.734709017167226E-001	1.272799967846368E+000
-4.5004067E-001	3.682392078480907E-001	1.301399967123871E+000
-4.5106778E-001	3.749690218531239E-001	1.329899966403900E+000
-4.5207945E-001	3.695465583627882E-001	1.358499965681403E+000
-4.5306858E-001	3.519148164208405E-001	1.387099964958907E+000
-4.5408460E-001	3.445380083281835E-001	1.415699964236410E+000
-4.5503491E-001	3.428160534978313E-001	1.444199963516439E+000
-4.5604190E-001	3.275991507323948E-001	1.472799962793943E+000
-4.5704037E-001	3.303590312442832E-001	1.501399962071446E+000
-4.5805910E-001	3.135406001743943E-001	1.529899961351475E+000
-4.5907506E-001	3.138006354993972E-001	1.558499960628978E+000
-4.6005109E-001	3.052033723334402E-001	1.587099959906482E+000
-4.6105957E-001	2.873121852145619E-001	1.615699959183985E+000
-4.6205130E-001	2.845442573584265E-001	1.644199958464014E+000
-4.6310753E-001	2.868885921080135E-001	1.672799957741518E+000
-4.6406597E-001	2.895402237034963E-001	1.701399957019021E+000
-4.6502709E-001	2.907547051265454E-001	1.729899956299050E+000
-4.6604607E-001	2.897162697279332E-001	1.758499955576553E+000
-4.6705475E-001	2.919381512774177E-001	1.787099954854057E+000
-4.6800047E-001	2.818453690551443E-001	1.815699954131560E+000
-4.6900639E-001	2.841861508363976E-001	1.844199953411589E+000
-4.7000113E-001	2.911990638385764E-001	1.872799952689093E+000
-4.7102880E-001	2.997296401523015E-001	1.901399951966596E+000
-4.7202757E-001	3.080910677176227E-001	1.929899951246625E+000
-4.7306320E-001	3.159433192585173E-001	1.958499950524129E+000
-4.7401479E-001	3.130318927305327E-001	1.987099949801632E+000
-4.7503102E-001	3.119251621504082E-001	2.015699949079135E+000
-4.7601140E-001	3.248646995501376E-001	2.044199948359164E+000
-4.7704294E-001	3.161051346630432E-001	2.072799947636668E+000
-4.7807670E-001	2.979128341538049E-001	2.101399946914171E+000
-4.7905612E-001	2.865867054517239E-001	2.129899946194200E+000
-4.8005760E-001	2.780641697834660E-001	2.158499945471704E+000
-4.8103526E-001	2.643375061558970E-001	2.187099944749207E+000
-4.8210037E-001	2.491676280360600E-001	2.215699944026710E+000
-4.8303792E-001	2.329852340112017E-001	2.244199943306739E+000
-4.8403826E-001	2.305331604449234E-001	2.272799942584243E+000
-4.8508105E-001	2.339461371697587E-001	2.301399941861746E+000
