Ewe/V	<I>/mA	time/s	
-4.0149924E-001	1.416737675666809E+000	0.000000000000000E+000
-4.0192366E-001	8.407898942696033E-001	5.499999861058313E-001
-4.0298855E-001	4.717885169445122E-001	1.599999959580600E+000
-4.0403554E-001	3.387870264107886E-001	2.649999933055369E+000
-4.0506768E-001	2.813042876581173E-001	3.649999907793244E+000
-4.0605095E-001	2.551303426271714E-001	4.649999882531120E+000
-4.0705013E-001	2.217471826105113E-001	5.649999857268995E+000
-4.0805361E-001	2.160376899197054E-001	6.649999832006870E+000
-4.0904433E-001	1.748978717153697E-001	7.649999806744745E+000
-4.1006052E-001	1.611381824536018E-001	8.649999781482620E+000
-4.1108939E-001	1.599866385691753E-001	9.649999756220495E+000
-4.1207376E-001	1.609571912017973E-001	1.064999973095837E+001
-4.1306025E-001	1.439662791102032E-001	1.164999970569625E+001
-4.1405731E-001	1.552286536774821E-001	1.264999968043412E+001
-4.1509789E-001	1.798541708976122E-001	1.364999965517200E+001
-4.1602921E-001	1.624498684025741E-001	1.464999962990987E+001
-4.1701353E-001	1.501156163386517E-001	1.564999960464775E+001
-4.1803825E-001	1.467510815535289E-001	1.664999957938562E+001
-4.1903743E-001	1.364349450563642E-001	1.764999955412350E+001
-4.2007056E-001	1.857534289253651E-001	1.864999952886137E+001
-4.2104116E-001	1.955371813758017E-001	1.964999950359925E+001
-4.2203087E-001	2.312337418620016E-001	2.064999947833712E+001
-4.2304805E-001	1.844419270902651E-001	2.164999945307500E+001
-4.2403990E-001	1.331305331514552E-001	2.265009942781035E+001
-4.2503902E-001	1.377739176308518E-001	2.364999940255075E+001
-4.2602032E-001	1.165048423997290E-001	2.465019937728357E+001
-4.2709240E-001	1.351523359411559E-001	2.564999935202650E+001
-4.2803034E-001	1.362457882067490E-001	2.665019932675932E+001
-4.2905915E-001	1.345344763270823E-001	2.765009930149972E+001
-4.3006691E-001	9.593323536885484E-002	2.865019927623507E+001
-4.3105125E-001	1.019750312635651E-001	2.965019925097295E+001
-4.3207803E-001	1.212427030096812E-001	3.065019922571082E+001
-4.3302634E-001	1.120842809255684E-001	3.165019920044870E+001
-4.3403405E-001	9.054570183796273E-002	3.265019917518657E+001
-4.3506399E-001	9.317823166558759E-002	3.365019914992445E+001
-4.3606105E-001	9.900548281243751E-002	3.465019912466232E+001
-4.3706557E-001	9.393286584913474E-002	3.565019909940020E+001
-4.3810615E-001	7.517575991449266E-002	3.665019907413807E+001
-4.3909690E-001	7.569997303108011E-002	3.765019904887595E+001
-4.4005898E-001	6.923966193160280E-002	3.865019902361382E+001
-4.4102314E-001	7.532613210892092E-002	3.965019899835170E+001
-4.4204041E-001	6.503625143035108E-002	4.065019897308957E+001
-4.4307992E-001	7.713077181641870E-002	4.165019894782745E+001
-4.4405156E-001	5.945788756169168E-002	4.265019892256532E+001
-4.4505289E-001	7.465928695166713E-002	4.365019889730320E+001
-4.4602129E-001	6.554911349139958E-002	4.465019887204107E+001
-4.4703856E-001	5.184637725815389E-002	4.565019884677895E+001
-4.4809291E-001	5.318428547483561E-002	4.665019882151682E+001
-4.4907516E-001	4.329237541423225E-002	4.765019879625470E+001
-4.5010620E-001	4.850732737679220E-002	4.865019877099257E+001
-4.5105979E-001	4.246998307017136E-002	4.965019874573045E+001
-4.5209929E-001	4.882543543474195E-002	5.065019872046832E+001
-4.5304227E-001	4.086900733549270E-002	5.165019869520620E+001
-4.5408177E-001	3.572823675885439E-002	5.265019866994407E+001
-4.5502266E-001	4.327104964768563E-002	5.365019864468195E+001
-4.5607486E-001	5.205493508549314E-002	5.465019861941983E+001
-4.5706883E-001	6.179857866681504E-002	5.565019859415770E+001
-4.5808497E-001	6.384527723320307E-002	5.665019856889558E+001
-4.5911279E-001	6.047549137587155E-002	5.765019854363345E+001
-4.5999530E-001	5.930575081768574E-002	5.865019851837133E+001
-4.6110588E-001	4.699373076595470E-002	5.965019849310920E+001
-4.6212122E-001	5.833528744171079E-002	6.065039846784202E+001
-4.6308303E-001	6.933606321277530E-002	6.165019844258495E+001
-4.6410894E-001	5.038258033813817E-002	6.265039841731777E+001
-4.6501890E-001	4.392124535303110E-002	6.365029839205818E+001
-4.6604893E-001	4.164172071752115E-002	6.465039836679352E+001
-4.6704063E-001	3.420803051077026E-002	6.565039834153140E+001
-4.6806324E-001	3.393302044807522E-002	6.665039831626927E+001
-4.6905610E-001	3.241894724589736E-002	6.765039829100715E+001
-4.7005638E-001	3.942239186271435E-002	6.865039826574503E+001
-4.7101626E-001	4.082273020185040E-002	6.965039824048290E+001
-4.7209826E-001	4.141542223119660E-002	7.065039821522078E+001
-4.7298184E-001	3.641899419359995E-002	7.165039818995865E+001
-4.7406802E-001	3.979785951013992E-002	7.265039816469653E+001
-4.7504389E-001	4.236749992055500E-002	7.365039813943440E+001
-4.7607705E-001	4.842215185234433E-002	7.465039811417228E+001
-4.7709534E-001	4.014291325047958E-002	7.565039808891015E+001
-4.7799376E-001	4.402430032931398E-002	7.665039806364803E+001
-4.7904071E-001	3.186279950108234E-002	7.765039803838590E+001
-4.8008442E-001	3.362857464398400E-002	7.865039801312378E+001
-4.8102954E-001	3.417961218941662E-002	7.965039798786165E+001
-4.8207435E-001	5.598616654810540E-002	8.065039796259953E+001
-4.8303434E-001	3.914316621596980E-002	8.165039793733740E+001
-4.8403567E-001	3.643724474734278E-002	8.265039791207528E+001
-4.8507947E-001	2.654533391292274E-002	8.365039788681315E+001
-4.8603833E-001	2.962073681390654E-002	8.465039786155103E+001
-4.8706725E-001	2.660023137475731E-002	8.565039783628890E+001
-4.8804098E-001	2.533558671147013E-002	8.665039781102678E+001
-4.8908579E-001	2.791946895947506E-002	8.765039778576465E+001
-4.9001712E-001	2.778255098238769E-002	8.865039776050253E+001
-4.9104920E-001	2.546732409639857E-002	8.965039773524040E+001
-4.9209404E-001	2.518562905428878E-002	9.065039770997828E+001
-4.9305820E-001	2.514814102310742E-002	9.165039768471615E+001
-4.9402669E-001	3.307430101733114E-002	9.265039765945403E+001
-4.9507469E-001	3.547075979614400E-002	9.365039763419190E+001
-4.9605161E-001	3.492668821297262E-002	9.465039760892978E+001
-4.9699670E-001	3.430107200999491E-002	9.565039758366765E+001
-4.9804154E-001	3.685190655737425E-002	9.665039755840553E+001
-4.9907255E-001	2.970053718060872E-002	9.765039753314340E+001
-5.0001758E-001	3.313384956113761E-002	9.865049750787875E+001
-5.0104332E-001	3.211999293440143E-002	9.965049748261663E+001
-5.0209999E-001	2.520073295783348E-002	1.006504974573545E+002
-5.0304186E-001	3.518609206617618E-002	1.016504974320924E+002
