Ewe/V	<I>/mA	time/s	
-4.0396225E-001	2.774245977401733E+000	0.000000000000000E+000
-4.0456894E-001	2.379050811823646E+000	1.839999953517690E-002
-4.0554243E-001	1.949479970772348E+000	5.179999869142193E-002
-4.0652922E-001	1.733134120003815E+000	8.499999785271939E-002
-4.0751463E-001	1.537971187138144E+000	1.183999970089644E-001
-4.0854675E-001	1.369847753072783E+000	1.517999961652095E-001
-4.0958250E-001	1.268980313920903E+000	1.849999953265069E-001
-4.1053239E-001	1.145333581533109E+000	2.183999944827519E-001
-4.1157410E-001	1.063567964933100E+000	2.517999936389970E-001
-4.1255245E-001	9.477576603172779E-001	2.849999928002944E-001
-4.1361076E-001	8.749727909408840E-001	3.183999919565395E-001
-4.1459906E-001	8.342269170372996E-001	3.517999911127845E-001
-4.1558638E-001	7.803720229119050E-001	3.849999902740819E-001
-4.1657215E-001	7.330638498227486E-001	4.183999894303270E-001
-4.1757682E-001	7.661455911664059E-001	4.517999885865720E-001
-4.1859832E-001	7.191463179123545E-001	4.849999877478695E-001
-4.1957843E-001	6.768444274880325E-001	5.183999869041145E-001
-4.2060706E-001	6.500590384272642E-001	5.517999860603595E-001
-4.2157820E-001	6.424314854329518E-001	5.849999852216570E-001
-4.2260072E-001	6.387991246314999E-001	6.183999843779020E-001
-4.2359039E-001	6.151222428581882E-001	6.517999835341470E-001
-4.2453992E-001	5.901198797921321E-001	6.849999826954445E-001
-4.2561930E-001	5.702577223185291E-001	7.183999818516895E-001
-4.2653403E-001	5.591641090012038E-001	7.517999810079345E-001
-4.2755070E-001	5.584059335468778E-001	7.851999801641796E-001
-4.2853239E-001	5.432967479021418E-001	8.183999793254770E-001
-4.2953300E-001	5.193456959538150E-001	8.517999784817221E-001
-4.3058088E-001	5.054292782192080E-001	8.851999776379671E-001
-4.3154263E-001	5.207055248719259E-001	9.183999767992646E-001
-4.3254486E-001	5.224072536817275E-001	9.517999759555096E-001
-4.3352517E-001	4.935787938535223E-001	9.851999751117546E-001
-4.3454319E-001	4.805942876982927E-001	1.018399974273052E+000
-4.3562391E-001	4.427651560696821E-001	1.051799973429297E+000
-4.3661094E-001	4.387710881419498E-001	1.085199972585542E+000
-4.3847543E-001	4.148597585294578E-001	1.148399970988976E+000
-4.3951485E-001	4.036090058114921E-001	1.181799970145221E+000
-4.4047335E-001	4.146775639207949E-001	1.215199969301466E+000
-4.4147229E-001	4.157090114979538E-001	1.248399968462763E+000
-4.4246176E-001	3.916115705633443E-001	1.281799967619008E+000
-4.4351339E-001	3.889674778575354E-001	1.315199966775253E+000
-4.4442537E-001	3.772019117343273E-001	1.348399965936551E+000
-4.4546145E-001	3.726050607017455E-001	1.381799965092796E+000
-4.4649768E-001	3.679185994404035E-001	1.415199964249041E+000
-4.4744146E-001	3.519094444288013E-001	1.448399963410338E+000
-4.4842550E-001	3.532322825473697E-001	1.481799962566583E+000
-4.4946086E-001	3.408298065362585E-001	1.515199961722828E+000
-4.5046064E-001	3.279637602299808E-001	1.548399960884126E+000
-4.5143038E-001	3.126195000183012E-001	1.581799960040371E+000
-4.5246953E-001	2.995304541489379E-001	1.615199959196616E+000
-4.5345834E-001	3.083163408234366E-001	1.648399958357913E+000
-4.5442259E-001	3.086220903885336E-001	1.681799957514158E+000
-4.5538524E-001	3.073384223457083E-001	1.715199956670403E+000
-4.5641851E-001	2.987181704628856E-001	1.748399955831701E+000
-4.5742187E-001	2.872690948147678E-001	1.781799954987946E+000
-4.5845774E-001	2.834748705795835E-001	1.815199954144191E+000
-4.5947319E-001	2.671992081864953E-001	1.848399953305488E+000
-4.6051005E-001	2.524192384089390E-001	1.881799952461733E+000
-4.6143937E-001	2.560765669938356E-001	1.915199951617979E+000
-4.6250275E-001	2.593294737629956E-001	1.948399950779276E+000
-4.6347666E-001	2.584820620272126E-001	1.981799949935521E+000
-4.6449143E-001	2.596610491425692E-001	2.015199949091766E+000
-4.6545550E-001	2.523704813491729E-001	2.048399948253063E+000
-4.6650070E-001	2.415462228536076E-001	2.081799947409309E+000
-4.6746927E-001	2.368334557364384E-001	2.115199946565554E+000
-4.6844494E-001	2.449361823570163E-001	2.148399945726851E+000
-4.6949089E-001	2.521885954566476E-001	2.181799944883096E+000
-4.7043765E-001	2.452789671452986E-001	2.215199944039341E+000
-4.7148040E-001	2.463803348153655E-001	2.248399943200639E+000
-4.7242129E-001	2.504405987528819E-001	2.281799942356884E+000
-4.7346306E-001	2.502468291909570E-001	2.315199941513129E+000
-4.7442764E-001	2.489209876994471E-001	2.348399940674426E+000
-4.7540188E-001	2.515056110922966E-001	2.381799939830671E+000
-4.7641861E-001	2.495306137195302E-001	2.415199938986916E+000
-4.7742692E-001	2.373439617827531E-001	2.448399938148214E+000
-4.7846854E-001	2.249037513363055E-001	2.481799937304459E+000
-4.7942600E-001	2.138470734682465E-001	2.515199936460704E+000
-4.8039815E-001	2.154594007121129E-001	2.548399935622001E+000
-4.8145133E-001	2.123605384690959E-001	2.581799934778246E+000
