Ewe/V	<I>/mA	time/s	
-4.0237752E-001	-8.567550033330917E-002	0.000000000000000E+000
-4.0303633E-001	-7.525429697879749E-002	2.749999930529157E-002
-4.0402916E-001	-6.346513280058602E-002	7.749999804218533E-002
-4.0504006E-001	-5.656938031488279E-002	1.274999967790791E-001
-4.0603605E-001	-5.190808892560494E-002	1.774999955159728E-001
-4.0700874E-001	-4.831763494466612E-002	2.274999942528666E-001
-4.0808010E-001	-4.559458627503499E-002	2.774999929897604E-001
-4.0963936E-001	-4.275560632555009E-002	3.574999909687904E-001
-4.1065875E-001	-4.090789248045812E-002	4.074999897056841E-001
-4.1162929E-001	-3.935886794028576E-002	4.574999884425779E-001
-4.1266876E-001	-3.796022674241262E-002	5.074999871794716E-001
-4.1368604E-001	-3.684864840815183E-002	5.574999859163654E-001
-4.1469479E-001	-3.585425653512142E-002	6.074999846532592E-001
-4.1561764E-001	-3.485836015790011E-002	6.574999833901529E-001
-4.1665077E-001	-3.403375602620468E-002	7.074999821270467E-001
-4.1766271E-001	-3.328830039094174E-002	7.574999808639404E-001
-4.1862375E-001	-3.259794812442521E-002	8.074999796008342E-001
-4.1968867E-001	-3.200223606459246E-002	8.574999783377280E-001
-4.2064333E-001	-3.141690367677563E-002	9.074999770746217E-001
-4.2162132E-001	-3.083567814987703E-002	9.574999758115155E-001
-4.2261526E-001	-3.026693416931847E-002	1.007499974548409E+000
-4.2366406E-001	-2.972295839783315E-002	1.057499973285303E+000
-4.2466152E-001	-2.929628726513089E-002	1.107499972022197E+000
-4.2561984E-001	-2.873810870197352E-002	1.157699970754038E+000
-4.2663833E-001	-2.835918842923324E-002	1.207599969493458E+000
-4.2767107E-001	-2.801715091579171E-002	1.257699968227826E+000
-4.2867520E-001	-2.770704866593926E-002	1.307699966964719E+000
-4.2964786E-001	-2.734110972637094E-002	1.357699965701613E+000
-4.3066511E-001	-2.700151748851776E-002	1.407699964438507E+000
-4.3163887E-001	-2.667268582067842E-002	1.457699963175401E+000
-4.3265715E-001	-2.640842426895951E-002	1.507699961912294E+000
-4.3367440E-001	-2.617436059733375E-002	1.557699960649188E+000
